Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,lifecycle:transition,concept:name,Amount_Req
Case 1,A_SUBMITTED-COMPLETE,112,46:44.5,Variant 1,1,COMPLETE,A_SUBMITTED,20000
Case 1,A_PARTLYSUBMITTED-COMPLETE,112,46:44.8,Variant 1,1,COMPLETE,A_PARTLYSUBMITTED,20000
Case 1,A_PREACCEPTED-COMPLETE,112,47:37.9,Variant 1,1,COMPLETE,A_PREACCEPTED,20000
Case 1,W_Completeren aanvraag-SCHEDULE,112,47:38.8,Variant 1,1,SCHEDULE,W_Completeren aanvraag,20000
Case 1,W_Completeren aanvraag-START,,44:46.4,Variant 1,1,START,W_Completeren aanvraag,20000
Case 1,A_ACCEPTED-COMPLETE,10862,50:43.3,Variant 1,1,COMPLETE,A_ACCEPTED,20000
Case 1,O_SELECTED-COMPLETE,10862,53:09.2,Variant 1,1,COMPLETE,O_SELECTED,20000
Case 1,A_FINALIZED-COMPLETE,10862,53:09.2,Variant 1,1,COMPLETE,A_FINALIZED,20000
Case 1,O_CREATED-COMPLETE,10862,53:11.1,Variant 1,1,COMPLETE,O_CREATED,20000
Case 1,O_SENT-COMPLETE,10862,53:11.3,Variant 1,1,COMPLETE,O_SENT,20000
Case 1,W_Nabellen offertes-SCHEDULE,,53:11.5,Variant 1,1,SCHEDULE,W_Nabellen offertes,20000
Case 1,W_Completeren aanvraag-COMPLETE,,53:13.9,Variant 1,1,COMPLETE,W_Completeren aanvraag,20000
Case 1,W_Nabellen offertes-START,,23:41.2,Variant 1,1,START,W_Nabellen offertes,20000
Case 1,W_Nabellen offertes-COMPLETE,,25:08.9,Variant 1,1,COMPLETE,W_Nabellen offertes,20000
Case 1,W_Nabellen offertes-START,10913,34:57.7,Variant 1,1,START,W_Nabellen offertes,20000
Case 1,W_Nabellen offertes-COMPLETE,10913,40:00.8,Variant 1,1,COMPLETE,W_Nabellen offertes,20000
Case 1,W_Nabellen offertes-START,11049,40:22.4,Variant 1,1,START,W_Nabellen offertes,20000
Case 1,O_SENT_BACK-COMPLETE,11049,41:03.6,Variant 1,1,COMPLETE,O_SENT_BACK,20000
Case 1,W_Valideren aanvraag-SCHEDULE,11049,41:04.5,Variant 1,1,SCHEDULE,W_Valideren aanvraag,20000
Case 1,W_Nabellen offertes-COMPLETE,11049,41:05.7,Variant 1,1,COMPLETE,W_Nabellen offertes,20000
Case 1,W_Valideren aanvraag-START,10629,13:26.9,Variant 1,1,START,W_Valideren aanvraag,20000
Case 1,A_REGISTERED-COMPLETE,10629,45:29.2,Variant 1,1,COMPLETE,A_REGISTERED,20000
Case 1,A_APPROVED-COMPLETE,10629,45:29.2,Variant 1,1,COMPLETE,A_APPROVED,20000
Case 1,O_ACCEPTED-COMPLETE,10629,45:29.2,Variant 1,1,COMPLETE,O_ACCEPTED,20000
Case 1,A_ACTIVATED-COMPLETE,10629,45:29.2,Variant 1,1,COMPLETE,A_ACTIVATED,20000
Case 1,W_Valideren aanvraag-COMPLETE,10629,45:37.0,Variant 1,1,COMPLETE,W_Valideren aanvraag,20000
Case 1,End-End,End,45:37.0,Variant 1,1,End,End,End
